comments	status
WORST PHONE EVER	0
I'm still infatuated with this phone	1
Freezes frequently4	0
It's kind of embarrassing use because of how it looks and mostly it's embarrassing how child-like company is	0
Simple lightweight and great fit	1
All in all I'd expected better consumer experience from Motorola	0
There's horrible tick sound in background all my calls that I have never experienced before	0
These are certainly very comfortable and functionality is decent	1
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair	1
I'm bit disappointed	0
I have had this phone over year now and I will tell you its not that great	0
I ordered this sony Ericsson W810i but I think it only worked once thats when I first used it	0
battery is completely useless me	0
What big waste of time	0
Don't waste your $$$ this one	0
Great sound and service	1
Really pleased with this product so far	1
One of my favorite purchases ever	1
best bluetooth market	1
Authentic leather with nice shine and comfort I recommend you this case 	1
I was very excited get this headset because I thought it was really cute	1
Do not make same mistake as me	0
Big Disappointment with calendar sync	0
phone was unusable and was not new	0
Worst Customer Service Ever	0
No additional ear gels provided and no instructions whatsoever	0
It defeats purpose of bluetooth headset	0
Worth every penny	1
Excellent wallet type phone case	1
Nice headphones price and they work great	1
Internet is excrutiatingly slow	0
It is very comfortable wear as well which is probably most important aspect about using case	1
It's fits like glove and is strong secure and durable	1
O my gosh best phone I have ever had	1
It's very attractive and appears be of good quality	1
I love all features and form factor	1
This product had strong rubber/petroleum smell that was unbearable after while and caused me return it	0
poor quality and service	0
cable looks so thin and flimsy it is scary	0
Great Earpiece	1
Excellent hands free tool	1
Great using with your home stereo	1
Good product - incredible value	1
Only had this month but it's worked flawlessly so far	1
Works great	1
Absolutel junk	0
THAT one didn't work either	0
Battery life is real good	1
Returned 8 hours later	0
It's great item	1
Don't waste your money	0
Love this headset	1
Not only will it drain your player but may also potentially fry it	0
Worked perfectly	1
Unreliable - I'm giving up	0
I gave it 5 stars because of sound quality	1
Avoid this one if you can	0
Reversible plug works great	1
I wasted my little money with this earpiece	0
Very good phone	1
Best of all is rotating feature very helpful	1
Comfort our whole family	1
Good product good seller	1
I love this bluetooth	1
First of all it doesn't wear well	0
I am very impressed with this headset from Plantronics	1
I got it because it was so small and adorable	1
Great phone	1
I wouldn't recommend buying this product	0
Piece of Junk	0
Poorly contstruct hinge	0
This item is great installed it let it charged up overnite and it has been working good every since with no problems	1
Great Phone	1
Don't buy it	0
Excellent Phone	1
DO NOT PURCHASE THIS PHONE	0
voice recognition thru handset is excellent	1
This is hands down best phone I've ever had	1
Works great when my cat attacked phone he scratched protective strip instead of destroying screen	1
This one works and was priced right	1
Customer service was terrible	0
Battery life still not long enough in Motorola Razor V3i	0
Sending it back	0
Now I know that I made wise decision	1
Someone shouldve invented this sooner	1
Good price	1
Everything worked first trydevice was certainly engineered in clever way and construction feels good	1
I received it quickly and it works great	1
Has been working great	1
As many people complained I found this headset's microphone was very weak	0
My 5-year old Nokia 2160 from Tracfone holds charge lot better than this	0
They do not care about consumer one bit	0
This is good battery and it got here really fast	1
instruction manual is lacking	0
Also its slim enough fit into my alarm clock docking station without removing case	1
Phone now holds charge like it did when it was new	1
battery is unreliable as well as service use antena	0
It's uncomfortable and sound quality is quite poor compared with phone Razr or with my previous wired headset that plugged into an LG	0
We have gotten lot of compliments it	1
This is definitely must have if your state does not allow cell phone usage while driving	1
I want my money back	0
I love this device	1
I am also very happy with price	1
I ordered this product first and was unhappy with it immediately	0
Ngage is still lacking in earbuds	0
I was able do voice dialing in car with no problem	1
I have 2-3 bars my cell phone when I am home but you cant not hear anything	0
good item low price	1
However-riingtones are not best and neither are games	0
plug did not work very well	0
AMAZON SUCKS	0
Rip off---- Over charge shipping	0
VERY comfortable	1
battery is working well as replacement original that came with phone over 2 years ago	1
reception is excellent	1
It fits comfortably in either ear sound is clear and loud and charge lasts couple of days	1
very clear quality sound and you don't have mess with sound your iPod since you have sound buttons headset	1
1 long lasting battery you don't have recharge it as frequentyly as some of flip phones2	0
Obviously there is problem with adhesive	0
Very disappointing	0
It was an inexpensive piece but I would still have expected better quality	0
It is practically useless and did not add any kind of boost my reception after I bought it	0
Excellent sound quality	1
Was not happy	0
A PIECE OF JUNK THAT BROKE AFTER BEING MY PHONE 2 DAYS	0
New Battery works great in phone	1
Worst customer service	0
I've dropped my phone more times than I can say even concrete and my phone is still great knock wood	1
Reception is terrible and full of static	0
Good audio quality	1
This little device has transformed my organizational capability and made my life whole lot easier	1
I was sitting in my vehicle with cradle my belt and headset lost signal	0
Were JERKS phone	0
Works like charm Works as advertised	1
Comfortable Nice Range Good Battery Life	1
Their network coverage in Los Angeles is horrible	0
Excellent starter wireless headset	0
loudspeaker option is great bumpers with lights is very  appealing	0
only thing that I think could improve is sound leaks out from headset	0
First off reception sucks I have never had more than 2 bars ever	0
phone gets EXTREMELY HOT	0
microphone also works well but according people I have called it applifies everything	1
Nice design and quality	1
Also if your phone is dropped this case is not going save it specially when dropped face down	0
It is light easy use and has very clear reception and transmission	1
bad fit way too big	0
It definitely was not as good as my S11	1
awesome device	1
Waste of money	0
I had ordered motorola data cable got very well finished and working product	1
Love This Phone	1
I was looking this headset long time and now that I've got it I couldn't be happier	1
I'll be drivng along and my headset starts ringing no reason	0
Display is excellent and camera is as good as any from that year	1
Battery life is also great	1
worst phone I've ever had Only had it few months	0
Not good item It worked while started having problems in my auto reverse tape player	0
This is so embarassing and also my ears hurt if I try push ear plug into my ear	0
Protects phone all sides	1
This is VERY average phone with bad battery life that operates weak network	0
Clear Skype Calls Long Battery Life Long Range	1
Soyo technology sucks	0
Great Hands Free Device	1
you can even take self portraits with outside exterior display very cool	1
Same problem as others have mentioned	0
After trying many many handsfree gadgets this is one that finally works well	1
Magical Help	1
worst piece of crap ever along with Verizon customer service	0
Poor sound quality	0
best phone in market :	1
It worked very well	1
company shipped my product very promptly and it works well	1
Exactly what I wanted	1
picture resolution is far below what other comparably-priced phones are offering today	0
This is great deal	1
Excellent product I am very satisfied with purchase	1
I highly recommend these and encourage people give them try	1
Better than you'd expect	1
Using all earpieces left or right this thing will not stay my ear	0
Great product and price	1
Sounds good reasonably priced and effective Its that simple 	1
Still Waiting I'm sure this item would work well if I ever recieve it	0
what disappointment	0
Very prompt service	1
Excellent product price	1
Very pleased with this headset	1
don't waste your money and time	0
I especially love long battery life	1
It's so stupid have keep buying new chargers car chargers cradles headphones and car kits every time new phone comes out	0
Works great	1
Plantronics Bluetooth Excelent Buy	1
I came over from Verizon because cingulair has nicer cell phones first thing I noticed was really bad service	0
I'll be looking new earpiece	0
I highly recommend this device everyone	1
Jawbone Era is awesome too	1
We received WHITE colored battery that goes DEAD after couple hoursoriginal used last week - but still lasts longer than thereplacement	0
After year battery went completely dead my headset	0
I have used several phone in two years but this one is best	1
An Awesome New Look Fall 2000	1
This is first phone I've had that has been so cheaply made	0
Att is not clear sound is very distorted and you have yell when you talk	0
plastic breaks really easy this clip	0
Price is good too	1
Don't make same mistake I did	0
Oh and I forgot also mention weird color effect it has your phone	0
I'm using it with an iriver SPINN with case and it fits fine	1
Also area where my unit broke - I'm not too fond of magnetic strap	0
Overall I am psyched have phone which has all my appointments and contacts in and gets great reception	1
every thing phone work perfectly she like it	1
Another note about this phone's appearance is that it really looks rather bland especially in all black model	0
IT'S REALLY EASY	1
My Sanyo has survived dozens of drops blacktop without ill effect	1
Fantastic earphones	1
It finds my cell phone right away when I enter car	1
Low Quality	0
I highly recommend this modest priced cellular phone	1
But it does get better reception and clarity than any phone I've had before	1
Warning - Stay away	0
I wish I could return unit and get back my money	0
Awsome Device Works Great	1
I used talk it 1 - 1 1/2 hours and battery would be literally drained and dying	0
If you don't find it too bad as again unit comes with one earpad onlyI would not recommend this anyone	0
Very Displeased	0
I might have gotten defect but I would not risk buying it again because of built quality alone	0
They made this case too small and is very difficult install	0
Restored my phone like new performance	1
I would recommend purchasing Jabra JX-10 series 2 which works flawlessly with my Moto Q go figure	1
I searched Internet and found this one be best value	1
Does not fit	0
Very happy with this product	1
screen size is big key pad lit well enough and camera quality is excellent camera phone	1
There's really nothing bad I can say about this headset	0
i'm glad i found this product amazon it is hard find it wasn't high priced	1
Portable and it works	1
My colleague & I now get great receptionA little expensive but performance is great	1
I even fully charged it before I went bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in morning	0
I've also had problems with phone reading memory card in which I always turn it and off again	0
Not good when wearing hat or sunglasses	0
Timely shipment and quality product	1
Nice solid keyboard	1
Very well made and fits my Surefire GX2 perfectly	1
Horrible phone	0
BT50 battery junk	0
We would recommend these others	1
Cant get software work with my computer	0
Disappointed	0
poor voice clarity	0
battery works great	1
No buyers remorse this one	0
Very disappointed in AccessoryOne	0
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers	0
Looks great and is strong"	1
I have had TMobile service 2 or 3 years now and I am pretty happy with it	1
update procedure is difficult and cumbersome	0
Disappointment I hate anything that goes in my ear	0
Great software Motorolas	1
delivery was time	1
Very easy use	1
Uncomfortable In Ear Don't use with LG VX9900 EnV	0
volume switch rocketed out of unit destination unknown	0
It holds charge long time is reasonably comfortable under long-wearing conditions and quality of sound is tremendous	1
I'd like return it	0
keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems	1
Verizon's bills however are difficult understand even though their pricing plans are simple	0
After charging overnight these batteries work great	1
You won't regret it	1
I love this phone	1
A Disappointment	0
Its not user friendly	0
Unfortunately ability actually know you are receiving call is rather important feature and this phone is pitiful in that respect	0
Then I exchanged same phone even that had same problem	0
This results in phone being either stuck at max volume or mute	0
This PDA rocks	1
It is super charged up use as small hybrid palmtop/camera/cellphone and excels in those roles	1
I would definitely recommend Jabra BT250v those who are looking comfort clarity and great price	1
I had Verizon 2 years ago and really liked their service	1
Pretty piece of junk	0
Plug was wrong size	0
Works as described	1
Save your money I've had this item 11 months now	0
Bad Purchase	0
WELL IM SATISFIED	1
bose noise cancelling is amazing which is very important NYC commuter	1
This battery is an excellent bargain	1
Defective crap	0
I would have given no star if I was able	0
I wear glasses and it fits fine with them	1
sound quality device is unacceptableUnless you are in really quiet area you almost hear nothing	0
I would not recommend this item anyone	0
holster that arrived did not match photo in ad	0
greatno problems at all	1
As an earlier review noted plug in this charger and nothing happens	0
This frog phone charm is adorable and very eye catching	1
You never know if you pushed it hard enough or right number of times function you want or not	0
sound is clear and people I talk it are amazed at quality too	1
I got aluminum case my new Palm VX and it worked really well--it has protected my handheld perfectly so far	1
very good product well made	1
Mobile Phone Tools are must have	1
I am very impressed with job that Motorola did sturdiness of this phone	1
I received my orders well within shipping timeframe everything was in good working order and overall I am very excited have this source	1
phone is sturdy and waterproof	1
I am not impressed with this and i would not recommend this item anyone	0
My only complaint is standard sound volume is little low even when turned up 5of 5	0
Thanks again Amazon having things I need good price	1
I ended up sliding it edge of my pants or back pockets instead	1
I had go store and bought new NOKIA phone which is working great	1
Works great	1
REALLY UGLY	0
horrible had switch 3 times	0
noise shield is incrediable	1
No real improvement	0
Razr Battery - Good buy	1
Keep up good work Amazon	1
They refuse refund or replace	0
Unfortunately it's easy accidentally activate them with gentle-touch buttons if you accidentally touch phone your face while listening	0
So I basically threw my money out window nothing	0
Great case and price	1
All it took was one drop from about 6 inches above kitchen counter and it was crackedI am not impressed and I am not laughing	0
Bluetooth range is good - few days ago I left my phone in trunk got call and carried conversation without hitch	1
Small sleek impressive looking practical setup with ample storage in place	1
eargels channel sound directly into your ear and seem increase sound volume and clarity	1
none of new ones have ever quite worked properly	0
I am glad I purchased it	1
I've missed numerous calls because of this reason	0
Perhaps my phone is defective but people cannot hear me when I use this	0
Don't buy this product	0
sucked most of stuff does not work with my phone	0
No shifting no bubbling no peeling not even scratch NOTHINGI couldn't be more happier with my new one Droid	1
Worst software ever used If I could give this zero stars I would	0
Trying make call these is an exercise in frustration	0
case is flimsy piece of plastic and has no front or side protection whatsoever	0
I own Jabra Earset and was very happy with it but sound quality especially outgoing this is better	1
I love camera it's really pretty good quality	1
Thank you such great service	1
Its total package	1
seller is very understanding and patient I would definitely buy from them again	1
I give Wirefly 1 starI will contact Cingular/AT&T; and inform them of this practice	0
It's AGGRAVATING	0
Great product price	1
I have purchased these both family and friends and all enjoy their clarity and ease of use	1
Virgin Wireless rocks and so does this cheap little phone	1
None of it works just don't buy it	0
Muddy low quality sound and casing around wire's insert was poorly super glued and slid off	0
Please dont waste your money	0
All in all I'm quite satisfied with this purchase	1
If you are looking good quality Motorola Headset keep looking this isn't it	0
Yet Plantronincs continues use same flawed charger design	0
Disapointing Results	0
Cumbersome design	0
Great it was new packaged nice works good no problems and it came in less time I expected	1
Great Product	1
It's PIECE OF CRAP	0
My experience was terrible This was my fourth bluetooth headset and while it was much more comfortable than my last Jabra which I HATED	0
This fixes all problems	1
Worst ever	0
I am very happy	1
I've had no trouble accessing Internet downloading ringtones or performing any of functions	1
I can barely ever hear it and am constantly saying "what?"	0
battery life is highly unacceptable	0
That company is joke	0
It does everything description said it would	1
Due this happening every call I was forced stop using this headset	0
It works great with car charger especially if you cannot plug in two adapters at same time	1
Verizon tech support walked my through few procedures none of which worked and I ended up having do hard re-set wiping out all my data	0
Voice Quality Signal Strength Dropped Calls	0
It plays louder than any other speaker of this size; price is so low that most would think quality is lacking however it's not	1
Better than expected	1
It feels poorly constructed menus are difficult navigate and buttons are so recessed that it is difficult push them	0
Battery is holding up well	1
Also difficult put onI'd recommend avoiding this product	0
I only used it two days and it wasn't always easy hear with	0
I got car charger and not even after week charger was brokenI went plug it in and it started smoking	0
Sprint - terrible customer service	0
Linked my phone without effort	1
THey are so cool	1
Easy use	1
Better Than New	1
What possesed me get this junk I have no idea	0
Piece of trash	0
A pretty good product	1
This is great phone	1
For price Amazon it is an excellent product which I would highly recommend	1
Their Research and Development division obviously knows what they're doing	1
real killer is volume and of course it breaking	0
Those phones are working just fine now	1
I am more than happy with this product	1
Poor Construction	0
This is infuriating	0
Overall I would recommend this phone over new Walkman	1
Sprint charges this service	0
It is cheap and it feel and look just as cheap	0
It fits my ear well and is comfortable on	1
It doesn't work in Europe or Asia	0
clipping this your belt will deffinitely make you feel like 50 cent's up-and-coming	1
I like design and look of Jabra behing ear headsets and 5020 is pretty comfortible wear 24 hours day without pain in ear	1
I was amazed at quick arrival of two original lg cell phone batteries and and at fraction of price	1
worst phone from samsungcrap this crappy Samsung E715 is worst i have ever seeen	0
charger worked about week and completely stopped charging my phone	0
Poor product	0
However I needed some better instructions	0
You need two hands operate screenThis software interface is decade old and cannot compete with new software designs	0
Worked very well paired with Treo 700w and as Skype headset my PC using USB Bluetooth transceiver	1
Steer clear of this product and go with genuine Palm replacementr pens which come in three-pack	0
DO NOT BUY DO NOT BUYIT SUCKS	0
This is great product sure beats using your fingers	1
Plus I seriously do not believe it is worth its steep price point	0
All other cases I've tried normally fall apart after few months but this one seems be in long haul	1
Very Dissapointing Performance	0
Don't make same mistake that I did and please don't buy this phone	0
This phone might well be worst I've ever had in any brand	0
Case was more or less an extra that I originally put but later discarded because it scratched my ear	0
I recommend iGo anyone with different brand cell phones/mp3 players in family	1
Don't bother - go store	0
I posted more detailed comments under grey or black phone but i have Fire Red and it's great color	1
I did not have any problem with this item and would order it again if needed	1
You get what you pay I guess	0
Not only did software do great job of this I could also make my own ringtones form my existing CDs without an internet connection	1
im surprised this is good quality car charger and there's not much reviews about it	1
These are fabulous	1
However BT headsets are currently not good real time games like first-person shooters since audio delay messes me up	0
I used bitpim free program you can find internetto transfer data phoneprice of cable was excellent	1
Disappointing accessory from good manufacturer	0
Performed awful -- muffled tinny incoming sound and severe echo those other end of call	0
Very wind-resistant	1
Obviously they have terrible customer service so you get what you pay for	0
They do not last forever but is not overly expensive replaceEasy operate and sound is much better than others I have tried	1
I contacted company and they told me that although unit was still under warranty if I couldn't produce my receipt I was out of luck	0
Linksys should have some way exchange bad phone refurb unit or something	0
Phone is sturdy as all nokia bar phones are	1
Great phone	1
When I placed my treo into case not only was it NOT snug but there was LOT of extra room sides	0
I'm pleased	1
Battery is terrible	0
I found product be easy set up and use	1
earpiece this is too large or too heavyit keeps falling out of my ear	0
Utter crap Sound quality is TERRIBLE	0
charger arrived within promised timeframe but it did not work	0
No ear loop needed it's tiny and sound is great	1
Finally after three or four times spring of latch broke and I could not use it any longer visor	0
handsfree part works fine but car tries download address book and Treo rebootsOverall I still rate this device high	1
Talk about USELESS customer service	0
It felt too light and "tinny"	0
This does not fit Palm Tungsten E2 and it broke first time I tried plug it in	0
I'm happy about this purchase- good quality and low price	1
I love look and feel of Samsung flipphones	1
Its well-designed and very sharp -- blue is very nice color	1
Does everything it should and more	1
I could not recommend these more	0
Nice Sound	1
Looks good in picture but this case was huge disappointment	0
Much less than jawbone I was going replace it with	1
Setup went very smoothly	1
its extremely slow and takes forever do anything with it	0
A must study anyone interested in "worst sins" of industrial design	0
first thing that happened was that tracking was off	0
It is well made easy access phone and has handy detachable belt clip	1
Then I had continue pairing it periodically since it somehow kept dropping	0
Can't upload ringtones from third party	0
Bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked	0
Truly awful	0
It works fine my Motorola 325 cellphone and lot better than worn-out battery did	1
volume ringer is REAL good you have choices how loud	1
And none of tones is acceptable	0
camera color balance is AWFUL	0
This product is clearly not ready prime time I don't care how cool it looks if you can't tell call is coming in it's worthless	0
I love ringtones because they are so upbeat	1
Chinese Forgeries Abound	0
Easy pair with my Samsung Cell	1
instructions didn't explain that microphone jack could be used	0
i would advise not purchase this item it never worked very well	0
Too bad you have pay up $$$ month service	0
Works well	1
nokia CA-42 USB cable did not work with my phone	0
Clear crisp sound	1
I have use smallest earpieces provided but it stays pretty well	1
biggest complaint I have is battery drains superfast	0
design might be ergonomic in theory but I could not stand having these in my ear	0
Do NOT buy if you want use holster	0
phone can also take great pictures and even video clips	1
It doesn't make you look cool	0
Because both ears are occupied background is not distracting at all	1
Comfortable fit - you need your headset be comfortable at least an hour at time if not an entire day	1
Also phone doesn't seem accept anything except CBR mp3s preferably ripped by Windows Media Player	0
You can't beat price these	1
* Comes with strong light that you can use light up your camera shots and even flash SOS signals seriously	1
lightweight and works well	1
So just beware	0
I love this cable - it allows me connect any mini-USB device my PC	1
So anyone near you will hear part of your conversation	0
This is cool because most cases are just open there allowing screen get all scratched up	1
I bought this phone as replacement my StarTac and have regretted it since	0
Appears actually outperform original battery from China that came with my V325i	1
Can't store anything but phone numbers SIM	0
It lasts less than 3o minutes if I actually try use phoneMy wife has same phone with same problem	0
Poor quality	0
jabra ear gels "R" best	1
Not worth it	0
phone crashed completely and now I have get it replaced	0
It quit working after I'd used it about 18 months so I just purchased another one because this is best headset I've ever owned	1
Unfortunately it will not recharge my iPhone 4s despite connecting it from multiple power sources iMac external battery wall outlet etc	0
It was great phone	1
if you simply want small flip phone -- look elsewhere as extra bells & whistles are mediocre	0
Good value works fine - power via USB car or wall outlet	1
My phone doesn't slide around my car now and grip prevents my phone from slipping out of my hand	1
This is simply BEST bluetooth headset sound quality	1
Think it over when you plan own this oneThis sure is last MOTO phone me	0
In span of an hour I had two people exclaim "Whoa - is that new phone TV??	1
I have always used corded headsets and freedom from wireless is very helpful	1
This case has passed one year mark and while it shows signs of wear it is 100% functional	1
Other than that leather is nice and soft; fit is very tight; cut out face is good shape	1
It has everything I need and I couldn't ask more	1
After receiving and using product just 2 days it broke	0
This product is great it makes working lot easier I can go copier while waiting hold something	1
None of three sizes they sent with headset would stay in my ears	0
T-Mobile has best customer service anywhere	1
Arrived quickly and much less expensive than others being sold	1
We have tried 2 units and they both failed within 2 months Pros	0
Provides good protection and looks classy too	1
Krussel Always good	1
tracfonewebsite is user friendly and makes it easy toactivate etc	1
design is very good4	1
I great reception all time	1
I would highly recommend this product	1
Couldn't use unit with sunglasses not good in Texas	0
It dit not work most of time with my Nokia 5320	0
