comments	status
Today second time I've been their lunch buffet pretty good	1
There so much good food Vegas  feel cheated wasting eating opportunity by going Rice Company	0
Coming here like experiencing underwhelming relationship where both parties can't wait other person ask break up	0
walked place smelled like old grease trap only 2 others eating	0
turkey roast beef were bland	0
place it 	1
pan cakes everyone raving taste like sugary disaster tailored palate six year old	0
love Pho spring rolls oh so yummy try	1
poor batter meat ratio made chicken tenders unsatisfying	0
All say food amazing   	1
Omelets die for 	1
Everything fresh delicious 	1
In summary largely disappointing dining experience	0
like really sexy party your mouth where you're outrageously flirting hottest person party	1
Never been Hard Rock Casino before WILL NEVER EVER STEP FORWARD AGAIN 	0
Best breakfast buffet   	1
say bye bye your tip lady 	0
We'll never again	0
Will back again 	1
Food arrived quickly 	1
was not good	0
On side their cafe serves really good food	1
Our server fantastic found wife loves roasted garlic bone marrow added extra our meal another marrow 	1
only good thing our waiter helpful kept bloddy mary's coming	1
Best Buffet town price cannot beat it	1
LOVED their mussels cooked wine reduction duck tender their potato dishes were delicious	1
better buffets  been to	1
So went Tigerlilly fantastic afternoon 	1
food delicious our bartender attentive personable got great deal 	1
ambience wonderful music playing	1
Will back next trip out	1
Sooooo good  	1
REAL sushi lovers let's honest Yama not  good	0
At least 40min passed between us ordering food arriving wasn't  busy	0
really fantastic Thai restaurant which definitely worth visit	1
Nice spicy tender	1
Good prices	1
Check out	1
was pretty gross 	0
I've better atmosphere	0
Kind hard mess steak but they did	0
Although much liked look sound place actual experience bit disappointing	0
just don't know place managed served blandest food ever eaten they preparing Indian cuisine	0
Worst service boot but  least their worries	0
Service fine waitress friendly	1
guys steaks our steak loving son steak best worst places said best steak he's ever eaten	1
We thought you'd venture further away get good sushi but place really hit spot  night	1
Host staff were lack better word BITCHES 	0
Bland Not liking place number reasons don't want waste time bad reviewing I'll leave 	0
Phenomenal food service ambiance	1
wouldn't return	0
Definitely worth venturing strip pork belly will return next time Vegas	1
place way overpriced mediocre food	0
Penne vodka excellent 	1
They good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt some tasty burgers	1
management rude	0
Delicious NYC bagels good selections cream cheese real Lox capers even	1
Great Subway fact so good come here every other Subway will not meet your expectations	1
seriously solid breakfast here	1
best bars food Vegas	1
He extremely rude really so many other restaurants would love dine during weekend Vegas	0
My drink never empty made some really great menu suggestions	1
Don't do it    	0
waiter wasn't helpful or friendly rarely checked us	0
My husband ate lunch here were disappointed food service	0
And red curry so much bamboo shoots wasn't tasty me	0
Nice blanket moz over top but feel like done cover subpar food	1
bathrooms clean place itself well decorated	1
menu always changing food quality going down & service extremely slow	0
service little slow  considering  were served by 3 people servers so food coming slow pace	0
give 2 thumbs down	0
We watched our waiter pay lot more attention other tables ignore us	0
My fiancé came middle day were greeted seated right away	1
great restaurant Mandalay Bay	1
We waited forty five minutes vain	0
Crostini  came salad stale	0
Some highlights : Great quality nigiri here 	1
the staff friendly joint always clean	1
this different cut piece other day but still wonderful tender s well well flavored	1
ordered Voodoo pasta first time I'd really excellent pasta since going gluten free several years ago	1
this place good	1
Unfortunately must hit bakery leftover day because everything ordered STALE	0
came back today since they relocated still not impressed	0
seated immediately	1
Their menu diverse reasonably priced	1
Avoid cost 	0
Restaurant always full but never wait	1
DELICIOUS  	1
place hands-down best places eat Phoenix metro area	1
So don't if looking good food	0
I've never been treated so bad	0
Bacon hella salty	1
We also ordered spinach avocado salad; ingredients were sad dressing literally zero taste	0
really Vegas fine dining used be right down menus handed ladies  no prices listed	1
waitresses friendly	1
Lordy Khao Soi dish  not missed curry lovers 	1
Everything menu terrific were also thrilled  they made amazing accommodations our vegetarian daughter	1
Perhaps caught them night judging by other reviews but not inspired back	0
service here leaves lot desired	0
atmosphere modern hip while maintaining touch coziness	1
Not weekly haunt but definitely place come back every once while	1
We literally sat 20 minutes no asking take our order	0
burger absolutely no flavor meat itself totally bland burger overcooked no charcoal flavor	0
also decided not send back because our waitress looked like verge having heart attack	0
dressed treated so rudely 	0
was probably dirt	0
Love place hits spot want something healthy but not lacking quantity or flavor	1
ordered Lemon raspberry ice cocktail which also incredible	1
food sucked which expected but sucked more could imagined	0
Interesting decor	1
What really like crepe station	1
Also were served hot bread butter home made potato chips bacon bits topvery original good	1
you can watch them preparing delicious food )	1
Both egg rolls were fantastic	1
When order arrived gyros missing	0
salad wings some ice cream dessert left feeling quite satisfied	1
I'm not really sure Joey's voted best hot dog Valley by readers Phoenix Magazine	0
best place tasty bowl Pho 	1
live music Fridays totally blows	0
I've never been more insulted or felt disrespected	0
Very friendly staff	1
worth drive	1
heard good things place but exceeding every hope could dreamed of	1
Food great so serivce 	1
warm beer didn't help	0
Great brunch spot	1
Service friendly inviting	1
Very good lunch spot	1
I've lived here since 1979 first (and last) time I've stepped foot place	0
WORST EXPERIENCE EVER	0
Must been night place	0
sides delish mixed mushrooms yukon gold puree white corn beateous	1
If  bug never showed would given 4 sure but other side wall where bug climbing kitchen	0
For 10 minutes we're waiting her salad realized  wasn't coming any time soon	0
My friend loved salmon tartar	1
Won't back	0
Extremely Tasty 	1
Waitress good though 	1
Soggy not good	0
Jamaican mojitos delicious	1
Which small not worth price	0
food rich so order accordingly	1
shower area outside so can only rinse not take full shower unless don't mind being nude everyone see 	0
service bit lacking	0
Lobster Bisque Bussell Sprouts Risotto Filet needed salt pepperand course none tables	0
Hopefully bodes them going business someone can cook can come in	0
was either cold not enough flavor or just bad	0
loved bacon wrapped dates	1
an unbelievable BARGAIN 	1
folks Otto always make us feel so welcome special	1
As mainsalso uninspired	0
place where first pho amazing  	1
wonderful experience made place must-stop whenever town again	1
If food isn't bad enough enjoy dealing world's worst annoying drunk people	0
Very fun chef	1
Ordered double cheeseburger & got single patty  falling apart (picture uploaded) Yeah still sucks	0
Great place couple drinks watch any sporting events walls covered TV's	1
If were possible give them zero stars they'd it	0
descriptions said yum yum sauceand another said eel sauce yet another said spicy mayowell NONE rolls sauces them	0
I'd say  would hardest decision Honestly M's dishes taste they supposed taste (amazing)	1
If not rolled eyes may stayed Not sure if will back try again	0
Everyone attentive providing excellent customer service	1
Horrible don't waste your time money	0
Now dish quite flavourful	1
By time our side restaurant almost empty so no excuse	0
(wasn't busy either) Also building FREEZING cold	0
like other reviewer said couldn't pay eat place again	0
-Drinks took close 30 minutes come point	0
Seriously flavorful delights folks	1
Much better other AYCE sushi place went Vegas	1
lighting just dark enough set mood	1
Based sub-par service received no effort show their gratitude business won't going back	0
Owner's really great people 	1
There nothing privileged working eating there	0
Greek dressing creamy flavorful	1
Overall don't think  would take parents place again because they made similar complaints  silently felt too	0
Now pizza itself good peanut sauce tasty	1
We 7 our table service pretty fast	1
Fantastic service here	1
well would've given godfathers zero stars if possible	0
They know make them here	1
very tough short flavor 	0
hope place sticks around	1
been more few bars Vegas do not ever recall being charged tap water	0
restaurant atmosphere exquisite	1
Good service clean inexpensive boot 	1
seafood fresh generous portion	1
Plus only 8 bucks	1
service not par either	0
Thus far only visited twice food absolutely delicious time	1
Just good more year ago 	1
For self proclaimed coffee cafe wildly disappointed	0
Veggitarian platter world 	1
cant wrong any food here	1
can't beat 	1
Stopped by place while Madison Ironman friendly kind staff	1
chefs were friendly good job	1
I've better not only from dedicated boba tea spots but even from Jenni Pho	0
liked patio service outstanding	1
goat taco didn't skimp meat wow what FLAVOR 	1
think not again	0
mac salad pretty bland so will not getting  again	0
went Bachi Burger friend's recommendation not disappointed	1
Service stinks here 	0
waited waited	0
place not quality sushi not quality restaurant	0
would definitely recommend wings well pizza	1
Great Pizza Salads 	1
Things  went wrong: They burned saganaki	0
We waited hour what breakfast could done 100 times better home	0
place amazing 	1
hate disagree fellow Yelpers but husband were so disappointed place	0
Waited 2 hours & never got either our pizzas many other around us came later did 	0
Just don't know why they were so slow	0
staff great food delish they incredible beer selection	1
live neighborhood so am disappointed won't back here because convenient location	0
didn't know pulled pork could soooo delicious	1
get incredibly fresh fish prepared care	1
Before why gave 1 star rating please know  third time eating Bachi burger before writing review	0
love fact  everything their menu worth it	1
Never again will dining place 	0
food excellent service good	1
Good beer & drink selection good food selection	1
Please stay away from shrimp stir fried noodles	0
potato chip order sad could probably count many chips were  box probably around 12	0
Food really boring	0
Good Service-check 	1
greedy corporation will NEVER see another dime from	0
Will never ever back	0
As much I'd like back can't get passed atrocious service will never return	0
In summer can dine charming outdoor patio so delightful	1
not expect so good 	1
Fantastic food 	1
She ordered toasted English muffin  came untoasted	0
food good	1
Never going back	0
Great food price which high quality house made	1
bus boy other hand so rude	0
By point friends basically figured place joke didn't mind making publicly loudly known	0
Back good BBQ lighter fare reasonable pricing tell public they back old ways	1
And considering two us left full happy $20 just can't wrong	1
All bread made in-house 	1
only downside service	0
Also fries without doubt worst fries I've ever had	0
Service exceptional food good reviews	1
A couple months later returned amazing meal	1
Favorite place town shawarrrrrrma      	1
black eyed peas sweet potatoes UNREAL 	1
won't disappointed	1
They could serve just vinaigrette may make better overall dish but still good	1
far many places I've never seen any restaurant  serves 1 egg breakfast especially $400	0
When mom got home immediately got sick only few bites salad	0
servers not pleasant deal they don't always honor Pizza Hut coupons	0
Both them were truly unbelievably good am so glad went back	1
We fantastic service were pleased by atmosphere	1
Everything gross	0
love place	1
Great service food	1
First bathrooms location were dirtySeat covers were not replenished & just plain yucky   	0
burger got Gold Standarda $17 burger kind disappointed	0
OMG food delicioso 	1
There nothing authentic place	0
the spaghetti nothing special whatsoever	0
Of dishes salmon best but were great	1
vegetables so fresh sauce feels like authentic Thai	1
worth driving from Tucson 	1
selection probably worst I've seen Vegasthere none	0
Pretty good beer selection too	1
place like Chipotle but BETTER	1
Classy warm atmosphere fun fresh appetizers succulent steaks (Baseball steak     	1
5 stars brick oven bread app 	1
eaten here multiple times time food delicious	1
We sat another ten minutes finally gave left	0
He terrible 	0
Everyone treated equally special	1
shouldn't take 30 min pancakes eggs	0
was delicious   	1
On good side staff genuinely pleasant enthusiastic real treat	1
Sadly Gordon Ramsey's Steak place shall sharply avoid during our next trip Vegas	0
As always evening wonderful food delicious 	1
Best fish I've ever life 	1
(bathroom just next door nice)	1
buffet small food they offered BLAND	0
an Outstanding little restaurant some Best Food ever tasted	1
Pretty cool would say	1
Definitely turn & doubt I'll back unless someone else buying	0
Server great job handling our large rowdy table	1
find wasting food despicable but just wasn't food	0
My wife Lobster Bisque soup which lukewarm	0
Would come back again if sushi craving while Vegas	1
staff great ambiance great	1
He deserves 5 stars	1
left stomach ache felt sick rest day	0
They dropped more ball	0
dining space tiny but elegantly decorated comfortable	1
They will customize your order any way you'd like usual Eggplant Green Bean stir fry love it 	1
And beans rice were mediocre best	0
Best tacos town by far  	1
took back money got outta there	0
In interesting part town place amazing	1
RUDE & INCONSIDERATE MANAGEMENT	0
staff now not friendly wait times being served horrible no even says hi first 10 minutes	0
won't back	0
They great dinners	1
service outshining & definitely recommend Halibut	1
food terrible	0
WILL NEVER EVER GO BACK HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED	0
don't recommend unless your car breaks down front starving	0
will come back here every time Vegas	1
place deserves star 90% do food	0
disgrace	0
Def coming back bowl next time	1
If want healthy authentic or ethic food try place	1
will continue come here ladies night andddd date night  highly recommend place anyone area (;	1
been here several times past experience always been great	1
We walked away stuffed happy our first Vegas buffet experience	1
Service excellent prices pretty reasonable considering Vegas located inside Crystals shopping mall by Aria	1
summarize food incredible nay transcendant but nothing brings joy quite like memory pneumatic condiment dispenser	1
I'm probably few people ever Ians not like it	0
Kids pizza always hit lots great side dish options kiddos 	1
Service perfect family atmosphere nice see	1
Cooked perfection service impeccable	1
simply disappointment	0
Overall disappointed quality food Bouchon	0
don't accountant know getting screwed 	0
Great place eat reminds little mom pop shops San Francisco Bay Area	1
Today first taste Buldogis Gourmet Hot Dog tell more ever thought possible	1
Left frustrated	0
I'll definitely soon again	1
Food really good got full petty fast	1
Service fantastic	1
TOTAL WASTE TIME	0
don't know what kind but they best iced tea	1
Come hungry leave happy stuffed 	1
For service give them no stars	0
can assure  won't disappointed	1
can take little bad service but food sucks	0
Gave trying eat any crust (teeth still sore)	0
But now completely grossed out	0
really enjoyed eating here	1
First time going but think will quickly become regular	1
Our server nice even though looked little overwhelmed our needs stayed professional friendly until end	1
From what dinner companions told meeverything fresh nice texture taste	1
On ground right next our table large smeared been-stepped-in-and-tracked-everywhere pile green bird poop	0
Furthermore can't even find hours operation website 	0
We've tried like place but after 10+ times think we're done them	0
What mistake  	0
No complaints 	1
some seriously good pizza expert connisseur topic	1
Waiter jerk	0
Strike 2 wants rushed	0
These nicest restaurant owners I've ever come across	1
never come again	0
We loved biscuits   	1
Service quick friendly	1
Ordered appetizer took 40 minutes pizza another 10 minutes	0
So absolutley fantastic	1
was huge awkward 15lb piece cow  3 4ths gristle fat	0
definitely will come back here again	1
like Steiners because dark feels like bar	1
Wow spicy but delicious	1
If you're not familiar check out	1
I'll take business dinner dollars elsewhere	0
I'd love back	1
Anyway FS restaurant wonderful breakfast lunch	1
Nothing special	0
Each day week they different deal so delicious 	1
Not mention combination pears almonds bacon big winner 	1
Will not back	0
Sauce tasteless	0
food delicious just spicy enough so sure ask spicier if prefer  way	1
My ribeye steak cooked perfectly great mesquite flavor	1
don't think we'll going back anytime soon	0
Food so gooodd	1
am far from sushi connoisseur but can definitely tell difference between good food bad food certainly bad food	0
so insulted	0
last 3 times lunch here been bad	0
chicken wings contained driest chicken meat ever eaten	0
food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc	1
Nargile think great	1
Best tater tots southwest	1
We loved place	1
Definitely not worth $3 paid	0
vanilla ice cream creamy smooth while profiterole (choux) pastry fresh enough	1
Im AZ time now new spot	1
manager worst	0
inside really quite nice clean	1
food outstanding prices were reasonable	1
don't think I'll running back Carly's anytime soon food	0
was due fact  took 20 minutes acknowledged another 35 minutes get our foodand they kept forgetting things	0
Love margaritas 	1
was first only Vegas buffet not disappoint	1
Very good though 	1
one down note ventilation could use some upgrading	0
Great pork sandwich	1
Don't waste your time here	0
Total letdown would much rather just Camelback Flower Shop Cartel Coffee	0
Third cheese friend's burger cold	0
We enjoy their pizza brunch	1
steaks well trimmed also perfectly cooked	1
We group 70+ claimed would only 40 they handled us beautifully	1
LOVED it 	1
We asked bill leave without eating they didn't bring  either	0
place jewel Las Vegas exactly what I've been hoping find nearly ten years living here	1
Seafood limited boiled shrimp crab legs but crab legs definitely not taste fresh	0
selection food not best	0
Delicious will absolutely back 	1
isn't small family restaurant fine dining establishment	1
They toro tartare cavier  extraordinary liked thinly sliced wagyu white truffle	1
dont think will back long time	0
was attached gas station  rarely good sign	0
How awesome 	1
will back many times soon	1
menu so much good stuff could not decide 	1
Worse humiliated his worker right front meBunch horrible name callings	0
CONCLUSION: filling meals	1
Their daily specials always hit group	1
And tragedy struck	0
pancake also really good pretty large 	1
was first crawfish experience delicious 	1
Their monster chicken fried steak eggs time favorite	1
Waitress sweet funny	1
also taste Mom's multi-grain pumpkin pancakes pecan butter they were amazing fluffy delicious 	1
I'd rather eat airline food seriously	0
Cant say enough good things place	1
ambiance incredible	1
waitress manager so friendly	1
would not recommend place	0
Overall wasn't impressed Noca	0
My gyro basically lettuce only	0
Terrible service 	0
Thoroughly disappointed 	0
don't much pasta but love homemade  hand made pastas thin pizzas here	1
Give try will happy did	1
By far BEST cheesecurds ever 	1
Reasonably priced also 	1
Everything perfect night were in	1
food good your typical bar food	1
it drive get there	0
At first glance lovely bakery cafe nice ambiance clean friendly staff	1
Anyway do not think will back there	0
Point your finger any item menu order won't disappointed	1
Oh such thing beauty restaurant	1
If haven't gone here GO NOW 	1
A greasy unhealthy meal	0
first time might just last	0
Those burgers were amazing	1
Similarly delivery man not say word apology our food 45 minutes late	0
And way expensive	0
Be sure order dessert even if need pack to-go tiramisu cannoli both die for	1
was first time can't wait until next	1
bartender also nice	1
Everything good tasty 	1
place two thumbs upway up	1
best place Vegas breakfast (just check Sat or Sun	1
If love authentic Mexican food want whole bunch interesting yet delicious meats choose from need try place	1
Terrible management	0
An excellent new restaurant by experienced Frenchman	1
If were zero stars would give zero stars	0
Great steak great sides great wine amazing desserts	1
Worst martini ever 	0
steak shrimp opinion best entrees GC	1
opportunity today sample your amazing pizzas 	1
We waited thirty minutes seated (although were 8 vacant tables were only folks waiting)	0
yellowtail carpaccio melt your mouth fresh	1
won't try going back even if empty	0
No going eat potato  found some strangers hair it	0
Just spicy enough Perfect actually	1
Last night second time dining here so happy decided back 	1
not even hello will right you	0
desserts were bit strange	0
My boyfriend came here first time recent trip Vegas could not been more pleased quality food service	1
really do recommend place can wrong donut place 	1
Nice ambiance	1
would recommend saving room 	1
guess maybe went night but disgraceful	0
However recent experience particular location not so good	0
know not like other restaurants something here 	0
AVOID ESTABLISHMENT 	0
think restaurant suffers from not trying hard enough	0
All tapas dishes were delicious 	1
*heart* place	1
My salad bland vinegrette baby greens hearts Palm	0
After two felt disgusting	0
A good time 	1
believe  place great stop those huge belly hankering sushi	1
Generous portions great taste	1
will never back place will never ever recommended place anyone 	0
servers went back forth several times not even so much Are being helped?	0
Food delicious 	1
AN HOUR seriously?	0
consider theft	0
Eew location needs complete overhaul	0
We recently witnessed her poor quality management towards other guests well	0
Waited waited waited	0
He also came back check us regularly excellent service	1
Our server super nice checked us many times	1
pizza tasted old super chewy not good way	0
swung give them try but deeply disappointed	0
Service good company better 	1
staff also friendly efficient	1
As service: fan because quick you're being served by some nice folks	1
Boy  sucker dry  	0
Over rated	0
If look authentic Thai food else where	0
Their steaks 100% recommended 	1
After pulled car waited another 15 minutes before being acknowledged	0
Great food great service clean friendly setting	1
All can assure I'll back	1
hate those things much cheap quality black olives	0
My breakfast perpared great beautiful presentation 3 giant slices Toast lightly dusted powdered sugar	1
kids play area NASTY 	0
Great place fo take or eat in	1
waitress friendly happy accomodate vegan veggie options	1
OMG felt like never eaten Thai food until dish	1
was extremely crumbyand pretty tasteless	0
was pale color instead nice char NO flavor	0
croutons also taste homemade which extra plus	1
got home see driest damn wings ever 	0
It'll regular stop trips Phoenix 	1
really enjoyed Crema Café before they expanded; even told friends they BEST breakfast	1
Not good money	0
miss wish they Philadelphia 	1
We got sitting fairly fast but ended waiting 40 minutes just place our order another 30 minutes before food arrived	0
They also best cheese crisp town	1
Good value great food great service	1
Couldn't ask more satisfying meal	1
food good	1
was awesome	1
just wanted leave	0
We made drive way from North Scottsdale not bit disappointed 	1
will not eating again	0
 THE OWNERS REALLY REALLY need quit being soooooo cheap let them wrap freaking sandwich two papers not 	0
checked place couple years ago not impressed	0
chicken got definitely reheated only ok wedges were cold soggy	0
Sorry will not getting food from here anytime soon :(	0
An absolute must visit 	1
cow tongue cheek tacos amazing	1
My friend not like his Bloody Mary	0
Despite hard rate businesses its actually rare give 1 star	0
They really want make your experience good one	1
will not return	0
chicken Pho tasted bland	0
Very disappointing   	0
grilled chicken so tender yellow from saffron seasoning	1
a drive thru means do not want wait around half hour your food but somehow end going here they make us wait wait	0
Pretty awesome place	1
Ambience perfect	1
Best luck rude non-customer service focused new management	0
Any grandmother can make roasted chicken better one	0
asked multiple times wine list after some time being ignored went hostess got myself	0
staff always super friendly helpful which especially cool bring two small boys baby 	1
Four stars food & guy blue shirt his great vibe & still letting us eat  	1
roast beef sandwich tasted really good 	1
Same evening him both drastically sick	0
High-quality chicken chicken Caesar salad	1
Ordered burger rare came we'll done	0
We were promptly greeted seated	1
Tried here lunch madhouse	0
proven dead wrong by sushi bar not only because quality great but service fast food impeccable	1
After waiting hour being seated not greatest moods	0
good joint	1
Macarons here insanely good	1
I'm not eating here 	0
Our waiter attentive friendly informative	1
Maybe if they weren't cold they would been somewhat edible	0
place lot promise but fails deliver	0
Very bad Experience 	0
What mistake	0
Food average best	0
Great food	1
We won't going back anytime soon 	0
Very Disappointed ordered $35 Big Bay Plater	0
Great place relax awesome burger beer	1
PERFECT sit-down family meal or get together few friends	1
Not much flavor them poorly constructed	0
patio seating comfortable	1
fried rice dry well	0
Hands down favorite Italian restaurant 	1
just SCREAMS LEGITin booksomethat's also pretty rare here Vegas	1
was just not fun experience	1
atmosphere great lovely duo violinists playing songs requested	1
personally love hummus pita baklava falafels Baba Ganoush (it's amazing what they do eggplant )	1
Very convenient since were staying MGM 	1
owners super friendly staff courteous	1
Both great 	1
Eclectic selection	1
sweet potato tots were good but onion rings were perfection or close had	1
staff attentive	1
And chef generous his time (even came around twice so can take pictures him)	1
owner used work Nobu so place really similar half price	1
Google mediocre imagine Smashburger will pop up	0
dont here	0
promise they won't disappoint	1
As sushi lover avoid place by means	0
What great double cheeseburger 	1
Awesome service food	1
A fantastic neighborhood gem    	1
can't wait back	1
plantains were worst I've ever tasted	0
great place highly recommend it	1
Service slow not attentive	0
gave 5 stars giving 5 stars now	1
Your staff spends more time talking themselves me	0
Dessert: Panna Cotta amazing	1
Very good food great atmosphere1	1
Damn good steak	1
Total brunch fail	0
Prices reasonable flavors spot sauce home made slaw not drenched mayo	1
decor nice piano music soundtrack pleasant	1
steak amazingrge fillet relleno best seafood plate ever 	1
Good food  good service 	1
was absolutely amazing	1
probably won't back honest	0
will definitely back 	1
sergeant pepper beef sandwich auju sauce excellent sandwich well	1
Hawaiian Breeze Mango Magic Pineapple Delight smoothies  I've tried so far they're good	1
Went lunch service slow	0
We so much say place before walked  expected amazing but quickly disappointed	0
mortified	0
Needless say will never back here again	0
Anyways food definitely not filling price pay should expect more	0
chips  came were dripping grease mostly not edible	0
wasn't really impressed Strip Steak	0
Have been going since 2007 every meal been awesome  	1
Our server nice attentive were other serving staff	1
cashier friendly even brought food me	1
work hospitality industry Paradise Valley refrained from recommending Cibo any longer	0
atmosphere here fun	1
Would not recommend others	0
Service quick even to goorders just like like it 	1
mean really do get so famous your fish chips so terrible ? 	0
said our mouths bellies were still quite pleased	1
Not thing	0
2 Thumbs Up  	1
If reading please don't there	0
loved grilled pizza reminded legit Italian pizza	1
Only Pros : Large seating areaNice bar areaGreat simple drink menuBEST brick oven pizza homemade dough 	1
They really nice atmosphere	1
Tonight Elk Filet specialand sucked	0
After bite hooked	1
We ordered some old classics some new dishes after going few times were sorely disappointed everything	0
Cute quaint simple honest	1
chicken deliciously seasoned perfect fry outside moist chicken inside	1
food great always compliments chef	1
Special thanks Dylan T recommendation what order :) yummy tummy	1
Awesome selection beer	1
Great food awesome service 	1
One nice thing  they added gratuity bill since our party larger 6 or 8 they didn't expect more tip 	1
A FLY apple juice A FLY        	0
Han Nan Chicken also tasty	1
As service thought good	1
food barely lukewarm so must been sitting waiting server bring us	0
Ryan's Bar definitely Edinburgh establishment won't revisiting	0
Nicest Chinese restaurant I've been while	1
Overall like food service	1
They also now serve Indian naan bread hummus some spicy pine nut sauce  world	1
Probably never coming back wouldn't recommend it	0
Friend's pasta also bad barely touched it	0
Try them airport experience some tasty food speedy friendly service	1
love decor Chinese calligraphy wall paper	1
Never anything complain here	1
restaurant clean family restaurant feel it	1
was way over fried	0
I'm not sure long stood but long enough begin feel awkwardly place	0
When opened sandwich impressed but not good way	0
Will not back 	0
There warm feeling service felt like their guest special treat	1
An extensive menu provides lots options breakfast	1
always order from vegetarian menu during dinner which wide array options choose from	1
watched their prices inflate portions get smaller management attitudes grow rapidly 	0
Wonderful lil tapas ambience made feel warm fuzzy inside	1
got enjoy seafood salad fabulous vinegrette	1
wontons were thin not thick chewy almost melt your mouth	1
Level 5 spicy perfect where spice didn't over-whelm soup	1
We were sat right time our server from get FANTASTIC 	1
Main thing didn't enjoy  crowd older crowd around mid 30s up	0
When side town will definitely spot I'll hit again 	1
wait over 30 minutes get drink longer get 2 arepas	0
GREAT place eat 	1
jalapeno bacon soooo good	1
service poor s being nice	0
Food good service good Prices were good	1
place not clean food oh so stale 	0
chicken dishes OK beef like shoe leather	0
But service beyond bad	0
I'm so happy here   	1
Tasted like dirt	0
One few places Phoenix  would definately back again 	1
block amazing	1
close house low-key non-fancy affordable prices good food	1
* Both Hot & Sour & Egg Flower Soups were absolutely 5 Stars 	1
My sashimi poor quality being soggy tasteless	0
Great time family dinner Sunday night	1
the food not tasty not say its real traditional Hunan style	0
What botherwas slow service	0
flair bartenders absolutely amazing 	1
Their frozen margaritas WAY sugary taste	0
These were so good ordered them twice	1
So nutshell: 1) restaraunt smells like combination dirty fish market sewer	0
My girlfriend's veal bad	0
Unfortunately not good	0
pretty satifying experience	1
Join club get awesome offers via email	1
Perfect someone (me) only likes beer ice cold or case even colder	1
Bland flavorless good way describing barely tepid meat	0
chains which no fan beat place easily	0
nachos MUST HAVE 	1
We will not coming back	0
don't many words say place but does everything pretty well	1
staff super nice quick even crazy crowds downtown juries lawyers court staff	1
Great atmosphere friendly fast service	1
When received Pita huge lot meat so thumbs there	1
Once your food arrives meh	0
Paying $785 hot dog fries  looks like came kid's meal Wienerschnitzel not idea good meal	0
classic Maine Lobster Roll fantastic	1
My brother law works mall ate here same day guess what sick night too	0
So good am going review place twice once hereas tribute place once tribute event held here last night	1
chips salsa were really good salsa fresh	1
place great              	1
Mediocre food	0
Once get inside you'll impressed place	1
I'm super pissd	0
And service super friendly	1
Why sad little vegetables so overcooked?	0
place such nice surprise 	1
They were golden-crispy delicious	1
