comentarios	status
phenomenal food service and ambiance	1
i wouldnt return	0
definitely worth venturing off the strip for the pork belly will return next time im in vegas	1
this place is way too overpriced for mediocre food	0
penne vodka excellent	1
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish  melt and  tasty 	1
the management is rude	0
delicious nyc  good selections of cream cheese real lox with capers even	1
great subway in fact its so good when you come here every other subway will not meet your expectations	1
i had a seriously solid breakfast here	1
this is one of the best bars with food in vegas	1
 was extremely rude and really tre are so many otr restaurants i would love to  at during a weekend in vegas	0
 drink was never empty and  made  really great menu suggestions	1
dont do it	0
the waiter wasnt helpful or friendly and rarely checked on us	0
 husband and i ate lunch here and were very disappointed with the food and service	0
and the   had so much bamboo shoots and wasnt very tasty to me	0
nice blanket of moz over top but i  like this was done to cover up the subpar food	1
the  are clean and the place itself is well decorated	1
the menu is always changing food quality is going down & service is extremely slow	0
the service was a little slow  considering that were served by 3 people servers so the food was coming in a slow pace	0
i give it 2 thumbs down	0
we watched our waiter pay a lot more  to other tables and ignore us	0
 fiancé and i came in the middle of the day and we were greeted and seated right away	1
this is a great restaurant at the mandalay 	1
we waited for forty five minutes in vain	0
crostini that came with the  was stale	0
 highlights  great quality nigiri here	1
the staff is friendly and the joint is always clean	1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored	1
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free  years ago	1
this place is good	1
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale	0
i came back today since they relocated and still not impressed	0
i was seated immediately	1
their menu is diverse and reasonably priced	1
avoid at all cost	0
restaurant is always  but never a wait	1
delicious	1
this place is handsdown one of the best places to eat in the phoenix metro area	1
so dont go there if you are  for good food	0
ive never  treated so bad	0
bacon is hella salty	1
we also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste	0
this really is how vegas fine  used to be right down to the  handed to the ladies that have no prices listed	1
the waitresses are very friendly	1
lordy the khao soi is a dish that is not to be  for  	1
everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian 	1
 i  them on an off night  by the other  but im not inspired to go back	0
the service here leaves a lot to be desired	0
the atmosphere is modern and hip while maintaining a touch of coziness	1
not a weekly haunt but definitely a place to come back to every once in a while	1
we literally sat there for 20 minutes with no one asking to take our order	0
the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor	0
i also  not to send it back because our waitress looked like  was on the verge of having a  attack	0
i dressed up to be treated so rudely	0
it was probably dirt	0
love this place hits the spot when i want something healthy but not lacking in quantity or flavor	1
i ordered the lemon raspberry ice cocktail which was also incredible	1
the food sucked which we expected but it sucked more than we could have imagined	0
interesting decor	1
what i really like there is the crepe station	1
also were served hot bread and butter and  made potato chips with bacon bits on topvery original and very good	1
you can watch them  the delicious food	1
both of the egg  were fantastic	1
when  order  one of the  was missing	0
i had a  with the  and  ice cream for dessert and left feeling quite satisfied	1
im not really sure how joeys was voted best hot dog in the valley by  of phoenix magazine	0
the best place to go for a tasty bowl of 	1
the live music on fridays totally blows	0
ive never  more insulted or felt disrespected	0
very friendly staff	1
it is worth the drive	1
i had  good things about this place but it exceeding every hope i could have dreamed of	1
food was great and so was the serivce	1
the warm beer didnt help	0
great brunch spot	1
service is friendly and inviting	1
very good lunch spot	1
ive  here since 1979 and this was the first and last time ive stepped foot into this place	0
the worst experience ever	0
must have  an off night at this place	0
the sides are delish  mixed mushrooms yukon gold puree white   beateous	1
if that bug never showed up i would have  a 4 for sure but on the other side of the wall where this bug was climbing was the kitchen	0
for about 10 minutes we were waiting for   when we realized that it wasnt coming any time soon	0
  loved the salmon tartar	1
wont go back	0
extremely tasty	1
waitress was good though	1
soggy and not good	0
the jamaican mojitos are delicious	1
which are small and not worth the price	0
 the food is rich so order accordingly	1
the shower area is outside so you can only rinse not take a  shower unless you dont mind being nude for  to see	0
the service was a bit lacking	0
lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables	0
 this bodes for them going out of business and someone who can cook can come in	0
it was either too cold not enough flavor or just bad	0
i loved the bacon wrapped dates	1
this is an unbelievable bargain	1
the folks at otto always make us  so welcome and special	1
as for the "mainsalso uninspired	0
this is the place where i first had  and it was amazing	1
this wonderful experience made this place a muststop whenever we are in town again	1
if the food isnt bad enough for you then enjoy  with the worlds worst/annoying drunk people	0
very very fun chef	1
ordered a double  & got a single patty that was falling apart picture uploaded yeah still sucks	0
great place to have a couple  and watch any and all sporting events as the walls are  with tvs	1
if it were possible to give them zero stars theyd have it	0
the descriptions said "yum yum sauceand another said "eel sauce" yet another said "spicy mayo"well none of the  had sauces on them	0
id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing	1
if  had not rolled the eyes we may have stayed not sure if we will go back and try it again	0
 is very attentive providing excellent customer service	1
horrible  dont waste your time and money	0
now this dish was quite flavourful	1
by this time our side of the restaurant was almost empty so there was no excuse	0
it wasnt busy either also the building was freezing cold	0
like the other reviewer said "you couldnt pay me to eat at this place again"	0
 took close to 30 minutes to come out at one point	0
seriously flavorful delights folks	1
much better than the other ayce sushi place i went to in vegas	1
the lighting is just dark enough to set the mood	1
based on the subpar service i received and no effort to show their gratitude for  business i wont be going back	0
owners are really great people	1
there is nothing privileged about working/eating there	0
the greek dressing was very creamy and flavorful	1
overall i dont think that i would take   to this place again because they made most of the  complaints that i silently felt too	0
now the pizza itself was good the peanut sauce was very tasty	1
we had 7 at our table and the service was pretty fast	1
fantastic service here	1
i as well wouldve  godfathers zero stars if possible	0
they know how to make them here	1
very  and very short on flavor	0
i hope this place sticks around	1
i have  in more than a few bars in vegas and do not ever recall being  for  water	0
the restaurant atmosphere was exquisite	1
good service very clean and inexpensive to boot	1
the seafood was fresh and generous in portion	1
plus its only 8 bucks	1
the service was not up to par either	0
thus far have only visited twice and the food was absolutely delicious each time	1
just as good as when i had it more than a year ago	1
for a self proclaimed coffee cafe i was wildly disappointed	0
the veggitarian platter is out of this world	1
you cant go wrong with any of the food here	1
you cant beat that	1
stopped by this place while in madison for the ironman very friendly kind staff	1
the chefs were friendly and did a good job	1
ive had better not only from dedicated boba  spots but even from jenni 	0
i liked the patio and the service was outstanding	1
the goat  didnt skimp on the meat and wow what flavor	1
i think not again	0
i had the mac  and it was pretty bland so i will not be getting that again	0
i went to  burger on a  recommendation and was not disappointed	1
service stinks here	0
i waited and waited	0
this place is not quality sushi it is not a quality restaurant	0
i would definitely recommend the  as well as the pizza	1
great pizza and salads	1
things that went wrong  they burned the saganaki	0
we waited an hour for what was a breakfast i could have done 100 times better at 	0
this place is amazing	1
i hate to disagree with  fellow yelpers but  husband and i were so disappointed with this place	0
waited 2 hours & never got either of our pizzas as many other around us who came in later did	0
just dont know why they were so slow	0
the staff is great the food is delish and they have an incredible beer selection	1
i live in the  so i am disappointed i wont be back here because it is a convenient location	0
i didnt know pulled pork could be soooo delicious	1
you get incredibly fresh fish prepared with care	1
before i go in to why i  a 1 star rating please know that this was  third time eating at  burger before writing a review	0
i love the fact that everything on their menu is worth it	1
never again will i be  at this place	0
the food was excellent and service was very good	1
good beer & drink selection and good food selection	1
please stay away from the shrimp  fried noodles	0
the potato chip order was sad i could probably count how many chips were in that box and it was probably around 12	0
food was really boring	0
good servicecheck	1
this greedy corporation will never see another dime from me	0
will never ever go back	0
as much as id like to go back i cant get passed the atrocious service and will never return	0
in the summer you can  in a charming outdoor patio  so very delightful	1
i did not expect this to be so good	1
fantastic food	1
 ordered a  english muffin that came out un	0
the food was very good	1
never going back	0
great food for the price which is very  quality and house made	1
the bus boy on the other hand was so rude	0
by this point   and i had basically figured out this place was a joke and didnt mind  it publicly and loudly known	0
back to good bbq lighter fare reasonable pricing and  the  they are back to the old ways	1
and considering the two of us left there very  and happy for about $20 you just cant go wrong	1
all the bread is made inhouse	1
the only downside is the service	0
also the fries are without a doubt the worst fries ive ever had	0
service was exceptional and food was a good as all the 	1
a couple of months later i returned and had an amazing meal	1
favorite place in town for shawarrrrrrma	1
the black eyed peas and sweet potatoes unreal	1
you wont be disappointed	1
they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good	1
i go to far too many places and ive never seen any restaurant that  a 1 egg breakfast especially for $400	0
when   and i got   immediately got sick and  only had a few bites of 	0
the servers are not  to deal with and they dont always honor pizza hut coupons	0
both of them were truly unbelievably good and i am so glad we went back	1
we had fantastic service and were pleased by the atmosphere	1
everything was gross	0
i love this place	1
great service and food	1
first  the  at this location were dirty seat covers were not replenished & just plain yucky	0
the burger i got the "gold standarda $17 burger and was kind of disappointed	0
omg the food was delicioso	1
there is nothing authentic about this place	0
the spaghetti is nothing special whatsoever	0
of all the dishes the salmon was the best but all were great	1
the vegetables are so fresh and the sauce feels like authentic thai	1
its worth driving up from tucson	1
the selection was probably the worst ive seen in vegasthere was none	0
pretty good beer selection too	1
this place is like chipotle but better	1
classy/warm atmosphere fun and fresh appetizers succulent steaks baseball steak	1
5 stars for the brick oven bread app	1
i have eaten here multiple times and each time the food was delicious	1
we sat another  minutes and finally  up and left	0
 was terrible	0
 is treated equally special	1
it shouldnt take 30 min for  and 	0
it was delicious	1
on the good side the staff was genuinely  and enthusiastic  a real treat	1
sadly gordon ramseys steak is a place we shall  avoid during our next trip to vegas	0
as always the  was wonderful and the food delicious	1
best fish ive ever had in  life	1
the bathroom is just next door and very nice	1
the buffet is small and all the food they offered was bland	0
this is an outstanding little restaurant with  of the best food i have ever tasted	1
pretty cool i would say	1
definitely a turn off for me & i doubt  be back unless someone else is buying	0
server did a great job handling our large rowdy table	1
i find wasting food to be despicable but this just wasnt food	0
  had the lobster bisque soup which was lukewarm	0
would come back again if i had a sushi craving while in vegas	1
the staff are great the ambiance is great	1
 deserves 5 stars	1
i left with a stomach ache and felt sick the rest of the day	0
they dropped more than the ball	0
the  space is tiny but elegantly decorated and comfortable	1
they will customize your order any way youd like  usual is eggplant with green bean  fry love it	1
and the beans and rice were mediocre at best	0
best tacos in town by far	1
i took back  money and got outta there	0
in an interesting part of town this place is amazing	1
rude & inconsiderate management	0
the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes	0
i wont be back	0
they have great dinners	1
the service was outshining & i definitely recommend the halibut	1
the food was terrible	0
will never ever go back and have  many people what had happened	0
i dont recommend unless your car breaks down in front of it and you are starving	0
i will come back here every time im in vegas	1
this place deserves one star and 90% has to do with the food	0
this is a disgrace	0
def coming back to bowl next time	1
if you want healthy authentic or ethic food try this place	1
i will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area ;	1
i have  here  times in the past and the experience has always  great	1
we walked away stuffed and happy about our first vegas buffet experience	1
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping  by aria	1
to summarize the food was incredible nay transcendant but nothing brings me joy quite like the  of the pneumatic condiment dispenser	1
im probably one of the few people to ever go to ians and not like it	0
kids pizza is always a hit too with lots of great side dish options for the kiddos	1
service is perfect and the family atmosphere is nice to see	1
cooked to perfection and the service was impeccable	1
this one is simply a disappointment	0
overall i was very disappointed with the quality of food at bouchon	0
i dont have to be an accountant to know im getting screwed	0
great place to eat reminds me of the little  and  shops in the san francisco  area	1
today was  first taste of a buldogis gourmet hot dog and i have to  you it was more than i ever thought possible	1
left very frustrated	0
 definitely be in soon again	1
food was really good and i got  petty fast	1
service was fantastic	1
total waste of time	0
i dont know what kind it is but they have the best iced 	1
come hungry leave happy and stuffed	1
for service i give them no stars	0
i can assure you that you wont be disappointed	1
i can take a little bad service but the food sucks	0
 up trying to eat any of the crust  still sore	0
but now i was completely grossed out	0
i really enjoyed eating here	1
first time going but i think i will quickly become a regular	1
our server was very nice and even though  looked a little overwlmed with all of our needs  stayed professional and friendly until t end	1
from what   companions  meeverything was very fresh with nice texture and taste	1
on the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop	0
furthermore you cant even find hours of operation on the website	0
weve tried to like this place but after  times i think were done with them	0
what a mistake that was	0
no complaints	1
this is  seriously good pizza and im an expert/connisseur on the topic	1
waiter was a jerk	0
strike 2 who wants to be rushed	0
these are the nicest restaurant owners ive ever come across	1
i never come again	0
we loved the 	1
service is quick and friendly	1
ordered an appetizer and took 40 minutes and then the pizza another 10 minutes	0
so absolutley fantastic	1
it was a huge awkward 15lb piece of  that was 3/4ths gristle and fat	0
definitely will come back here again	1
i like steiners because its dark and it feels like a bar	1
wow very spicy but delicious	1
if youre not   it out	1
 take  business  dollars elsewhere	0
id love to go back	1
 this fs restaurant has a wonderful breakfast/lunch	1
nothing special	0
each day of the week they have a different deal and its all so delicious	1
not to mention the combination of pears almonds and bacon is a big winner	1
will not be back	0
sauce was tasteless	0
the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way	1
 ribeye steak was cooked perfectly and had great mesquite flavor	1
i dont think well be going back anytime soon	0
food was so gooodd	1
i am far from a sushi connoisseur but i can definitely  the  between good food and bad food and this was certainly bad food	0
i was so insulted	0
the last 3 times i had lunch here has  bad	0
the chicken  contained the driest chicken meat i have ever eaten	0
the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc	1
nargile  i think you are great	1
best tater tots in the southwest	1
we loved the place	1
definitely not worth the $3 i paid	0
the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough	1
im in az all the time and now have  new spot	1
the  was the worst	0
the inside is really quite nice and very clean	1
the food was outstanding and the prices were very reasonable	1
i dont think  be  back to carlys anytime soon for food	0
this is was  to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our foodand they kept forgetting things	0
love the  too	1
this was  first and only vegas buffet and it did not disappoint	1
very good though	1
the one down  is the ventilation could use  upgrading	0
great pork sandwich	1
dont waste your time here	0
total letdown i would much rather just go to the camelback  shop and cartel coffee	0
third the cheese on   burger was cold	0
we enjoy their pizza and brunch	1
the steaks are all well trimmed and also perfectly cooked	1
we had a group of 70+ when we claimed we would only have 40 and they handled us beautifully	1
i loved it	1
we asked for the bill to leave without eating and they didnt bring that either	0
this place is a jewel in las vegas and exactly what ive  hoping to find in   years living here	1
seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh	0
the selection of food was not the best	0
delicious and i will absolutely be back	1
this isnt a small family restaurant this is a fine  establishment	1
they had a toro tartare with a cavier that was extraordinary and i liked the thinly  wagyu with white truffle	1
i dont think i will be back for a very long time	0
it was attached to a gas station and that is rarely a good sign	0
how awesome is that	1
i will be back many times soon	1
the menu had so much good stuff on it i could not decide	1
worse of all  humiliated his worker right in front of mebunch of horrible name callings	0
conclusion very  meals	1
their daily specials are always a hit with  group	1
and then tragedy struck	0
the pancake was also really good and pretty large at that	1
this was  first crawfish experience and it was delicious	1
their  chicken fried steak and  is  all time favorite	1
waitress was sweet and funny	1
i also had to taste  moms multigrain pumpkin  with pecan butter and they were amazing fluffy and delicious	1
id rather eat airline food seriously	0
cant say enough good things about this place	1
the ambiance was incredible	1
the waitress and  are so friendly	1
i would not recommend this place	0
overall i wasnt very impressed with noca	0
 gyro was basically lettuce only	0
terrible service	0
thoroughly disappointed	0
i dont each much pasta but i love the homemade /hand made pastas and thin pizzas here	1
give it a try you will be happy you did	1
by far the best cheesecurds we have ever had	1
reasonably priced also	1
everything was perfect the night we were in	1
the food is very good for your typical bar food	1
it was a drive to get there	0
at first glance it is a lovely bakery cafe  nice ambiance clean friendly staff	1
 i do not think i will go back there	0
point your finger at any  on the menu order it and you wont be disappointed	1
oh this is  a thing of beauty this restaurant	1
if you havent gone here go now	1
a greasy unhealthy meal	0
first time there and might just be the last	0
those  were amazing	1
similarly the  man did not say a word of apology when our food was 45 minutes late	0
and it was way to expensive	0
be sure to order dessert even if you need to  it togo  the tiramisu and cannoli are both to die for	1
this was  first time and i cant wait until the next	1
the bartender was also nice	1
everything was good and tasty	1
this place is two thumbs upway up	1
the best place in vegas for breakfast just  out a sat or sun	1
if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place	1
terrible management	0
an excellent new restaurant by an experienced frenchman	1
if there were zero stars i would give it zero stars	0
great steak great sides great  amazing desserts	1
worst martini ever	0
the steak and the shrimp are in  opinion the best  at gc	1
i had the  today to sample your amazing pizzas	1
we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting	0
the yellowtail carpaccio was melt in your mouth fresh	1
i wont try going back there even if its empty	0
no im going to eat the potato that i found  strangers hair in it	0
just spicy enough perfect actually	1
last night was  second time  here and i was so happy i  to go back	1
not even a "hello we will be right with you"	0
the desserts were a bit strange	0
 boyfriend and i came here for the first time on a recent trip to vegas and could not have  more pleased with the quality of food and service	1
i really do recommend this place you can go wrong with this donut place	1
nice ambiance	1
i would recommend saving room for this	1
i guess maybe we went on an off night but it was disgraceful	0
however  recent experience at this particular location was not so good	0
i know this is not like the other restaurants at all something is very off here	0
avoid this establishment	0
i think this restaurant suffers from not trying hard enough	0
all of the tapas dishes were delicious	1
i *heart* this place	1
  had a bland  on the baby greens and  of palm	0
after two i felt disgusting	0
a good time	1
i believe that this place is a great stop for those with a huge belly and hankering for sushi	1
generous portions and great taste	1
i will never go back to this place and will never ever recommended this place to anyone	0
the servers went back and forth  times not even so much as an "are you being helped"	0
food was delicious	1
an hour seriously	0
i consider this theft	0
eew this location needs a complete overhaul	0
we recently witnessed  poor quality of management towards ot guests as well	0
waited and waited and waited	0
 also came back to cck on us regularly excellent service	1
our server was super nice and checked on us many times	1
the pizza tasted old super chewy in not a good way	0
i swung in to give them a try but was deeply disappointed	0
service was good and the company was better	1
the staff are also very friendly and efficient	1
as for the service im a fan because its quick and youre being served by  nice folks	1
boy was that sucker dry	0
over rated	0
if you look for authentic thai food go else where	0
their steaks are 100% recommended	1
after i pulled up  car i waited for another 15 minutes before being acknowledged	0
great food and great service in a clean and friendly 	1
all in all i can assure you  be back	1
i hate those things as much as cheap quality black olives	0
 breakfast was perpared great with a beautiful  of 3 giant slices of toast lightly dusted with powdered sugar	1
the kids play area is nasty	0
great place fo take out or eat in	1
the waitress was friendly and happy to accomodate for vegan/veggie options	1
omg i felt like i had never eaten thai food until this dish	1
it was extremely "crumbyand pretty tasteless	0
it was a pale color  of nice and  and has no flavor	0
the croutons also taste homemade which is an  plus	1
i got  to see the driest damn  ever	0
itll be a regular stop on  trips to phoenix	1
i really enjoyed crema café before they expanded; i even   they had the best breakfast	1
not good for the money	0
i miss it and wish they had one in philadelphia	1
we got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food 	0
they also have the best cheese crisp in town	1
good value great food great service	1
couldnt ask for a more satisfying meal	1
the food is good	1
it was awesome	1
i just wanted to leave	0
we made the drive all the way from north scottsdale and i was not one bit disappointed	1
i will not be eating there again	0
the owners really really need to  being soooooo cheap let them wrap  freaking sandwich in two papers not one	0
i checked out this place a couple years ago and was not impressed	0
the chicken i got was definitely reheated and was only ok the wedges were cold and soggy	0
sorry i will not be getting food from here anytime soon 	0
an absolute must visit	1
the  tongue and cheek tacos are amazing	1
  did not like his bloody mary	0
 how hard i rate businesses its actually  for me to give a 1 star	0
they really want to make your experience a good one	1
i will not return	0
i had the chicken  and it tasted very bland	0
very disappointing	0
the grilled chicken was so tender and yellow from the saffron seasoning	1
a drive  means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait	0
pretty awesome place	1
ambience is perfect	1
best of luck to the rude and noncustomer service focused new management	0
any grandmother can make a  chicken better than this one	0
i asked multiple times for the  list and after  time of being ignored i went to the hostess and got one myself	0
the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby	1
four stars for the food & the  in the blue shirt for his great vibe & still letting us in to eat 	1
the  beef sandwich tasted really good	1
same  him and i are both drastically sick	0
highquality chicken on the chicken caesar 	1
ordered burger  came in well done	0
we were promptly greeted and seated	1
tried to go here for lunch and it was a madhouse	0
i was proven  wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable	1
after waiting an hour and being seated i was not in the greatest of moods	0
this is a good joint	1
the macarons here are insanely good	1
im not eating here	0
our waiter was very attentive friendly and informative	1
maybe if they werent cold they would have  somewhat edible	0
this place has a lot of  but fails to 	0
very bad experience	0
what a mistake	0
food was average at best	0
great food	1
we wont be going back anytime soon	0
very very disappointed ordered the $35 big  plater	0
great place to relax and have an awesome burger and beer	1
it is perfect for a sitdown family meal or get together with a few 	1
not much flavor to them and very poorly constructed	0
the patio seating was very comfortable	1
the fried rice was dry as well	0
hands down  favorite italian restaurant	1
that just screams "legitin  booksomethats also pretty  here in vegas	1
it was just not a fun experience	1
the atmosphere was great with a lovely duo of violinists playing  we requested	1
i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant	1
very convenient since we were  at the mgm	1
the owners are super friendly and the staff is courteous	1
both great	1
eclectic selection	1
the sweet potato tots were good but the onion rings were perfection or as close as i have had	1
the staff was very attentive	1
and the chef was generous with his time even came around twice so we can take pictures with him	1
the  used to work at nobu so this place is really  for half the price	1
google mediocre and i imagine smashburger will  up	0
dont go here	0
i  they wont disappoint	1
as a sushi lover avoid this place by all means	0
what a great double 	1
awesome service and food	1
a fantastic  gem 	1
i cant wait to go back	1
the plantains were the worst ive ever tasted	0
its a great place and i highly recommend it	1
service was slow and not attentive	0
i  it 5 stars then and im giving it 5 stars now	1
your staff spends more time talking to themselves than me	0
dessert panna cotta was amazing	1
very good food great atmosphere1	1
damn good steak	1
total brunch fail	0
prices are very reasonable flavors are spot on the sauce is  made and the slaw is not drenched in mayo	1
the decor is nice and the piano music soundtrack is 	1
the steak was amazingrge fillet relleno was the best seafood  i have ever had	1
good food  good service 	1
it was absolutely amazing	1
i probably wont be back to be honest	0
will definitely be back	1
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well	1
hawaiian breeze mango magic and pineapple delight are the smoothies that ive tried so far and theyre all good	1
went for lunch  service was slow	0
we had so much to say about t place before we walked in that  expected it to be amazing but was quickly disappointed	0
i was mortified	0
needless to say we will never be back here again	0
anyways the food was definitely not  at all and for the price you pay you should expect more	0
the chips that came out were dripping with grease and mostly not edible	0
i wasnt really impressed with strip steak	0
have  going since 2007 and every meal has  awesome	1
our server was very nice and attentive as were the other  staff	1
the  was friendly and even brought the food out to me	1
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer	0
the atmosphere here is fun	1
would not recommend to others	0
service is quick and even "to goorders are just like we like it	1
i mean really how do you get so  for your fish and chips when its so terrible	0
that said our mouths and bellies were still quite pleased	1
not  thing	0
2 thumbs up	1
if you are reading this please dont go there	0
i loved the grilled pizza reminded me of legit italian pizza	1
only   large seating area/ nice bar area/ great simple drink menu/ the best brick oven pizza with homemade dough	1
they have a really nice atmosphere	1
tonight i had the elk filet specialand it sucked	0
after one  i was hooked	1
we ordered  old classics and  new dishes after going there a few times and were sorely disappointed with everything	0
cute quaint simple honest	1
